name,model_year,weight_power_ratio
"renault 12tl",76,26.5301
"dodge colt hardtop",72,26.5750
"dodge colt",80,26.6667
"dodge diplomat",78,26.6786
"audi fox",74,26.7349
"chevrolet vega",72,26.7556
"volkswagen rabbit l",82,26.7568
"chevrolet caprice classic",77,26.7586
"buick century limited",82,26.7727
"amc hornet sportabout (sw)",71,26.9273
"buick opel isuzu deluxe",77,26.9375
"toyota corona",78,26.9474
"chevrolet chevelle malibu",70,26.9538
"ford galaxie 500",72,26.9869
"audi 100 ls",70,27.0000
"dodge colt (sw)",72,27.0500
"volkswagen rabbit custom",79,27.1127
"toyota mark ii",76,27.1296
"ford galaxie 500",71,27.1503
"fiat 124b",71,27.1711
"ford pinto",73,27.1765
"plymouth satellite custom (sw)",72,27.1800
"chevrolet cavalier 2-door",82,27.2159
"ford fiesta",78,27.2727
"toyota corolla 1200",71,27.2769
"plymouth fury iii",71,27.3067
"dodge rampage",82,27.3214
"plymouth custom suburb",73,27.3765
"opel 1900",76,27.4074
"pontiac catalina",75,27.4588
"audi 5000",78,27.4757
"chevrolet malibu",73,27.5034
"dodge monaco (sw)",71,27.5278
"plymouth fury iii",72,27.5667
"honda civic 1500 gl",80,27.6119
"ford ltd",73,27.6139
"buick skyhawk",75,27.6273
"volkswagen rabbit",75,27.6714
"volkswagen rabbit",76,27.6714
"ford gran torino",76,27.7303
"toyota celica gt",82,27.7604
"datsun f-10 hatchback",77,27.7857
"ford pinto (sw)",72,27.8488
"oldsmobile delta 88 royale",72,27.8500
"amc gremlin",73,27.8900
"ford country squire (sw)",71,27.9176
"plymouth cricket",71,27.9286
"dodge coronet brougham",76,27.9333
"capri ii",76,27.9565
"chevrolet c10",76,27.9655
"volkswagen scirocco",78,28.0282
"audi 4000",80,28.0513
"volkswagen dasher",77,28.0769
"chrysler lebaron medallion",82,28.0978
"fiat 128",74,28.1067
"buick estate wagon (sw)",79,28.1290
"toyota corona",75,28.1458
"chevrolet monte carlo s",73,28.1517
"volkswagen rabbit",80,28.2105
"dodge charger 2.2",82,28.2143
"pontiac lemans v6",79,28.2174
"toyota corolla 1200",74,28.2462
"plymouth fury gran sedan",73,28.2467
"dodge colt",74,28.3333
"audi 100ls",75,28.3579
"dodge st. regis",79,28.3704
"audi 100ls",73,28.3736
"amc matador (sw)",74,28.3800
"plymouth reliant",81,28.3929
"pontiac phoenix",79,28.4000
"triumph tr7 coupe",80,28.4091
"amc concord d/l",78,28.4167
"datsun b-210",76,28.4286
"dodge aries wagon (sw)",81,28.4783
"dodge colt",76,28.5443
"ford country squire (sw)",79,28.5493
"dodge monaco brougham",77,28.5517
"amc hornet",70,28.5979
"fiat 131",76,28.6512
"mercury grand marquis",79,28.6594
"toyota corolla",76,28.7333
"opel manta",73,28.7733
"chevrolet malibu classic (sw)",79,28.8400
"ford ltd landau",79,28.8760
"toyota corolla",75,28.9467
"mazda glc custom",82,28.9706
"amc hornet",74,29.0100
"datsun 810",77,29.0206
"buick lesabre custom",72,29.0452
"ford thunderbird",77,29.0940
"datsun b210",74,29.1045
"amc gremlin",75,29.1400
"dodge magnum xe",78,29.1429
"mazda glc 4",81,29.1912
"chevrolet monza 2+2",75,29.2818
"plymouth champ",81,29.2969
"volkswagen dasher",74,29.2985
"honda civic",82,29.3284
"honda civic (auto)",82,29.3284
"honda civic 1300",81,29.3333
"pontiac safari (sw)",71,29.3714
"ford country",73,29.3772
"honda accord",82,29.4000
"amc gremlin",70,29.4222
"amc hornet",73,29.4500
"honda prelude",81,29.4667
"opel manta",74,29.4872
"ford gran torino",73,29.5036
"chevrolet caprice classic",79,29.5385
"datsun b210 gx",78,29.5714
"ford gran torino",74,29.5786
"volkswagen jetta",81,29.5946
"chevrolet cavalier",82,29.6023
"subaru dl",77,29.6269
"peugeot 304",71,29.6286
"plymouth reliant",81,29.6429
"buick skylark limited",79,29.6667
"dodge coronet custom (sw)",74,29.7133
"plymouth valiant",73,29.7238
"dodge omni",78,29.7333
"chevrolet citation",80,29.7556
"volkswagen rabbit",80,29.7581
"chevrolet caprice classic",73,29.7600
"ford f108",76,29.7692
"datsun 310 gx",82,29.7761
"mazda glc custom l",82,29.7794
"plymouth duster",70,29.8211
"fiat x1.9",74,29.8507
"fiat 124 tc",74,29.9467
"plymouth grand fury",75,29.9867
"honda civic cvcc",78,30.0000
"chevrolet cavalier wagon",82,30.0000
"volvo 244dl",75,30.0510
"dodge aries se",82,30.0595
"honda accord cvcc",77,30.0735
"chevrolet chevelle malibu classic",76,30.1071
"toyota corona liftback",80,30.1222
"toyota corolla",80,30.2000
"toyota corolla liftback",77,30.2000
"toyota starlet",81,30.2586
"chevrolet chevette",80,30.2857
"pontiac j2000 se hatchback",82,30.2941
"mercury lynx l",82,30.3571
"mazda glc deluxe",79,30.3846
"datsun 210 mpg",81,30.3846
"pontiac phoenix",82,30.3889
"ford maverick",70,30.4353
"dodge aspen 6",79,30.5455
"volkswagen model 111",71,30.5667
"plymouth duster",73,30.5684
"oldsmobile cutlass salon brougham",78,30.5909
"chevrolet bel air",75,30.6207
"ford pinto",74,30.6375
"ford gran torino (sw)",72,30.6714
"peugeot 504",70,30.7126
"plymouth horizon tc3",79,30.7143
"ford pinto",75,30.7629
subaru,81,30.8209
"fiat strada custom",79,30.8696
"volvo 245",76,30.8824
"ford fairmont (man)",78,30.9091
"ford mustang ii 2+2",77,30.9551
"buick century",81,31.0455
"datsun 310",80,31.0615
"datsun 210",79,31.0769
"pontiac sunbird coupe",77,31.1364
"ford fairmont futura",82,31.1413
"cadillac eldorado",79,31.2000
"volkswagen dasher",75,31.3099
"buick century luxus (sw)",74,31.3267
"toyota corolla",81,31.3333
"buick skylark",81,31.3690
"honda accord lx",78,31.3971
"plymouth horizon",79,31.4286
"ford escort 4w",81,31.4615
"renault 5 gtl",77,31.4655
"ford ltd",75,31.4662
"chevrolet chevelle concours (sw)",72,31.5231
"chevrolet chevette",78,31.6912
"toyota corona",74,31.7115
"renault 12 (sw)",72,31.7246
"ford pinto",75,31.7952
"honda accord",80,31.8056
"mercedes-benz 280s",76,31.8333
"chevrolet nova",76,31.9333
"chevrolet concours",77,32.0000
"subaru dl",80,32.0149
"toyota corolla",82,32.0714
"buick century special",78,32.1905
"plymouth valiant",76,32.3300
"ford mustang gl",82,32.4419
"mazda glc",80,32.4615
"datsun 210",80,32.4615
"chevrolet chevette",77,32.5556
"ford fairmont",80,32.6136
"buick skylark",77,32.6190
"plymouth duster",74,32.6526
"plymouth satellite custom",71,32.7524
"chevrolet camaro",82,32.7778
"chevrolet nova custom",73,32.7800
"toyota corolla tercel",80,32.8000
"pontiac firebird",71,32.8200
"datsun 710",74,32.8361
"ford fairmont 4",79,32.8409
"amc matador",71,32.8800
"dodge aspen",78,32.9091
"chevrolet nova",75,32.9429
"amc matador",76,33.0167
"amc matador",74,33.0182
"mercury cougar brougham",77,33.0385
"volkswagen 411 (sw)",72,33.0395
"toyota tercel",81,33.0645
"ford gran torino (sw)",74,33.1286
"pontiac ventura sj",76,33.1364
"chevrolet s-10",82,33.1707
"chevrolet malibu",78,33.2105
"ford ranger",82,33.2278
"pontiac astro",75,33.2308
"chevrolet chevelle malibu",71,33.2900
"chevrolet impala",73,33.3133
"chevrolet vega",73,33.3472
"chevrolet nova",74,33.3600
"amc concord",80,33.3667
"amc spirit dl",79,33.3750
"chevrolet vega (sw)",71,33.4444
"oldsmobile starfire sx",78,33.5882
"peugeot 504",75,33.6023
"amc pacer d/l",76,33.6105
"pontiac phoenix lj",78,33.6667
"plymouth horizon miser",82,33.7302
"honda civic cvcc",75,33.8679
"honda civic",76,33.8679
"chevrolet vega",74,33.8933
"mazda 626",80,33.8933
"amc matador",75,33.9091
"peugeot 504 (sw)",72,34.2414
"amc hornet",76,34.2778
"plymouth volare",78,34.3000
"ford maverick",73,34.3295
"plymouth valiant custom",75,34.3579
"plymouth satellite sebring",74,34.4095
"ford granada gl",81,34.7727
"ford fairmont (auto)",78,34.8824
"plymouth horizon 4",81,35.1587
"mercury zephyr 6",79,35.1765
"oldsmobile cutlass ciera (diesel)",82,35.4706
"oldsmobile cutlass ls",81,35.4762
"buick century",75,35.5182
"mazda 626",81,35.6081
"ford pinto",76,35.6250
"amc concord",78,35.6667
"ford mustang",71,35.6705
"amc pacer",75,35.6778
"ford granada",77,35.9694
"chevrolet woody",76,36.0667
"mercury zephyr",78,36.1176
"amc concord dl 6",79,36.2778
"plymouth volare custom",77,36.3000
"dodge aspen se",76,36.5100
"ford escort 2h",81,36.6154
"oldsmobile cutlass supreme",77,36.9091
"chevrolet chevelle malibu",75,37.1143
"peugeot 504",76,37.1591
"ford maverick",76,37.1852
"ford torino 500",71,37.5227
"dodge aspen",80,37.5667
"chevrolet chevelle malibu classic",74,37.8100
"oldsmobile cutlass salon brougham",79,38.0000
"fiat 128",73,38.1020
"mazda glc deluxe",78,38.1731
"chevrolet chevette",76,39.1346
"plymouth fury",75,39.8421
"volkswagen 1131 deluxe sedan",70,39.8913
"peugeot 505s turbo diesel",81,40.3750
"chrysler lebaron salon",81,40.7647
"volkswagen pickup",82,40.9615
"volkswagen rabbit custom diesel",78,41.3542
"volvo diesel",81,41.5789
"volkswagen type 3",72,41.7407
"volkswagen super beetle",73,42.3913
"volkswagen rabbit c(diesel)",80,43.4375
"ford maverick",75,43.8611
"audi 5000s (diesel)",80,44.0299
"peugeot 504",79,44.9296
"ford granada ghia",76,45.8205
"mercedes-benz 300d",79,45.8442
"mercury monarch",75,47.6667
"mercedes-benz 240d",80,48.5075
"volkswagen dasher (diesel)",80,48.6458
